id,word,definition,audio
753,denas paking,n. species of passerine bird Lonchura punctulata; see denas,
754,dénas paking,"n. is the scaly-breasted munia or spotted munia, Lonchura punctulata",
755,denas pisamban,"see denas bale, denas",
756,déni,var. réni pron. variant of deni which means these,
757,déta,var. réta pron. variant of deta meaning those,
758,detalyi,"n. [Eng] setails, implications; syn. résa-résa",
759,dies,n. adj. ten; syn. apúlu,
760,dikdik,v. to press hard with a mallet,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DICDIC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElDRElDLm1wMyIsImlhdCI6MTc1NDgwOTc3MCwiZXhwIjoyMDcwMTY5NzcwfQ.K0XW4htBljp7_NMXyVKazNsAilAEXQ4iccWGbKZNmYU
761,dikil,adv. about; syn. Tungkul,
762,dikit,"n. paste; syn. pakat, paskil",
763,dikulor,"adj, brown sugar; cf. refinádu; also refer to colored clothes, or anything with color",
764,dikut,"n. grass or week; also refer to native greens;  cf. amorseku, amuríkut",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DICUT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElDVVQubXAzIiwiaWF0IjoxNzU0ODA5Nzc2LCJleHAiOjIwNzAxNjk3NzZ9.-ehZHswSSlZhPASn_Yfw4UKfj0KgkGyk8jAqpm3Oej4
765,dílâ,n. tongue,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DILA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElMQS5tcDMiLCJpYXQiOjE3NTQ4MDk3ODIsImV4cCI6MjA3MDE2OTc4Mn0.RljA_s6whGTIJX7les0peC60yI0qgJRV2LY1zo3Ve-s
766,dílat,v. to put out the tongue,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DILAT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElMQVQubXAzIiwiaWF0IjoxNzU0ODQ0MDYxLCJleHAiOjIxMzMyNzYwNjF9.sbEnY3Qxtcj_0JXBbc0N1FGT0Wj_5qOVn6RMo3ehEbo
767,dildak mani,n. ground or finely chopped peanut (Arachis hypogaea L.) paste,
768,dilénsyá,n. [Sp] act of asking for a loan or debt; act of borrowing money,
769,díli,adv. alone,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DILI.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElMSS5tcDMiLCJpYXQiOjE3NTQ4MDk3OTQsImV4cCI6MjA3MDE2OTc5NH0.LWf-Zyi3x4LVlyVSbhASz-x_7mJsp4sDgbjgSBxm2bk
770,diló,"1 n. yellow; syn. papas; 2 yellow-colored suspension of fine earth and water, which is appplied at the surface of earthen pots; see kúran, balintauak; 3 n var. dilao n. turmeric, Zingiber offinale, syn. Curcuma domestica; also called and ginger root; syn. ange",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DILO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElMTy5tcDMiLCJpYXQiOjE3NTQ4MDk4MDUsImV4cCI6MjA3MDE2OTgwNX0.Dhb13OLZ9t5FIxR8P8n4l1E8rzvUwgNT8nh8I-lpJpI
771,dílú,v. to bathe,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DILO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElMTy5tcDMiLCJpYXQiOjE3NTQ4MDk4MDUsImV4cCI6MjA3MDE2OTgwNX0.Dhb13OLZ9t5FIxR8P8n4l1E8rzvUwgNT8nh8I-lpJpI
772,dimla,n. coldness,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DIMLA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElNTEEubXAzIiwiaWF0IjoxNzU0ODQ0MDc0LCJleHAiOjIxMzMyNzYwNzR9.ekXCGvRJRvRcHK58XgeoHybvzUnga37saibfS3sbA7A
773,dimut,adj. few; syn. ditak; cf. dakal,
774,dinalan ,n. adj. one hundred; the number 100; syn [Sp] sientu,
775,dinat,n. dirt; cf. musing,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DIMLA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElNTEEubXAzIiwiaWF0IjoxNzU0ODA5ODE1LCJleHAiOjIwNzAxNjk4MTV9.PQs5qYJFU-WY7Yd3bxsXdp2AzgDPdWMik7Bmgd46f0Q
776,díné,n. shame,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DINAY.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElOQVkubXAzIiwiaWF0IjoxNzU0ODQ0MTA3LCJleHAiOjIxMzMyNzYxMDd9.aSAqy1oNB3UcQ4ZsWLEwNejpYw6M0js41VJyj41nUTk
777,díng,n. enclosure with nipa or wood; syn. dalig; cf pader,
778,diolen,"dyolen, jolen [Eng] n. marble (for games)",
779,dírî,n. ill feeling agaisnt something,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DIRI1.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElSSTEubXAzIiwiaWF0IjoxNzU0ODA5ODM5LCJleHAiOjIwNzAxNjk4Mzl9.fWARr-mTJqpaOzytXTW2_pU5RPw1Tf1vx-etQChRvdQ
780,diris kabuntuk,"n. a fish species, Stolephorus commersonii Lacepede",
781,díris,var. dilis n. a small delicious fish,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DIRIS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElSSVMubXAzIiwiaWF0IjoxNzU0ODA5ODQ3LCJleHAiOjIwNzAxNjk4NDd9.hC2YVLMKxyho57KI7bCEoo9WJcZa09DxYj-_F61E39M
782,dirit,"adj. something small; syn. dit; see ditak, dimut",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DIRIT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElSSVQubXAzIiwiaWF0IjoxNzU0ODA5ODU0LCJleHAiOjIwNzAxNjk4NTR9.HZ9SDmwKIlD82J2WxDV-q5zOcztYD_4Lm0fYVLfWrBQ
783,diryâ,n. envy; syn. rilya,
784,disgrásya,{Sp} v. manga-[distributive] have an accident. d. madisgrasya 'be hurt on an accident'. n. accident. see aksidénti,
785,disgrasyada,[Sp] adj. unwed mother,
786,diskarti,see deskarti,
787,diskarti,"var. deskarti [Sp] n. resourcefulness, skillfulness; see gelinga",
788,ditak,"adj. a few, a little bit; syn. dimut, maritak; cf. dakal",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DITAC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElUQUMubXAzIiwiaWF0IjoxNzU0ODA5ODY1LCJleHAiOjIwNzAxNjk4NjV9.5TUPCql8aTAd61hcvphLy3oZRvWnzhHBU0C-95MJqdc
789,díwâ,n. the good consciousness of someone,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DIUA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElVQS5tcDMiLCJpYXQiOjE3NTQ4MDk4NzEsImV4cCI6MjA3MDE2OTg3MX0.Lcds-XnEMpNLRCHu4CmnyA6Wu01B95-xE2W0bZegHpE
790,diwal,"n. a species of mollusk, Pholas orientalis Gmelin; usually roasted on the shell; see tulia, talaba",
791,diwátâ,"n. a fairy, or a fair goddess",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DIUATA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRElVQVRBLm1wMyIsImlhdCI6MTc1NDgwOTg3OSwiZXhwIjoyMDcwMTY5ODc5fQ.LCNMfRyoxI--FYlWulIdcxGVuI621atEZ6e8Vib7zl4
792,dos mil,"n. adj. two thousand; syn. adwang libu, adwanlibu",
793,dos ,"n. adj. two; syn. adwa, aduá",
794,dos sientus,"n. adj. two hundred; syn. adwang dalan,; syn. adwandalan",
795,dosi,n. adj. twelve; syn. labing adwa,
796,duat,"dwat n. is a fruit, Syzygium Cumini Skeels found mostly wild throughout the Philippines. It is also called duhat in Tagalog, black berry, black plum and Java plum in English; syn. lumboy",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUAT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVBVC5tcDMiLCJpYXQiOjE3NTQ4MDk4OTcsImV4cCI6MjA3MDE2OTg5N30.VW0MW2fpTn0LA8PmSaZd4nz7_uPU7emHZWWRiKcnoic
797,dugdug,v. to pound a table with a fist,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUGDUG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVHRFVHLm1wMyIsImlhdCI6MTc1NDg0NDI1MiwiZXhwIjoyMTMzMjc2MjUyfQ.CQZOwVYMxg4JaL8x4jihNM-0UIjg52c0ITmnt25s2OI
798,dugsung,"v. to add something; syn. dugtung, suglung, tuglung",
799,dugtung ,see dugsung,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUGTUNG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVHVFVORy5tcDMiLCJpYXQiOjE3NTQ4MDk5MTMsImV4cCI6MjA3MDE2OTkxM30.9NPwU5xa3CNzHxwvFajB9LEh3cj4eGcSUu1XgRYVnoo
800,dugû,"rugû adv. has many meanings like: please, humbly, merely, etc.",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUGO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVHTy5tcDMiLCJpYXQiOjE3NTQ4MDk5MTksImV4cCI6MjA3MDE2OTkxOX0.YYAaf10P-rC3CjQ2jvOCe3hte_ca2RAzz6JYu9zHmbE
801,dukduk ,v. to bend the forehead down on the folded forearms,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUCDUC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVDRFVDLm1wMyIsImlhdCI6MTc1NDgwOTkyNiwiZXhwIjoyMDcwMTY5OTI2fQ.ORD0VPnmhxREReXXw8taIk3tToNB9btlEDKCo8w3BL4
802,dúkû ,v. to bow the head forward,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUCO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVDTy5tcDMiLCJpYXQiOjE3NTQ4MDk5MzIsImV4cCI6MjA3MDE2OTkzMn0.pDSPTyks6EMx654oMUGPoPMSaw7RmiP4JXyhGtJ4I90
803,dúlang,n. a low table where people squat to eat; cf. lamesa,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DULANG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVMQU5HLm1wMyIsImlhdCI6MTc1NDgwOTk0MSwiZXhwIjoyMDcwMTY5OTQxfQ.sedWNHf7Piyx8CV6E6r2-GJu12Voo3e729KfheQn0ug
804,Dulce Prenda ,n. [Sp] a La Naval pastry product; also called hopiang Kapampangan,
805,dulduk ,v. to swallow liquid fast in large amounts; syn. dalukduk,
806,duldul ,"n. thunder, cf. kildap",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DULDUC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVMRFVDLm1wMyIsImlhdCI6MTc1NDgwOTk0OSwiZXhwIjoyMDcwMTY5OTQ5fQ.yiFtdy7DcKT1GYhd9sPPT-XjyxXkoxW5QB285yf3LWE
807,duling," adj. cross-eyed, strabismus; cf. banglad",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DULING.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVMSU5HLm1wMyIsImlhdCI6MTc1NDgwOTk1OCwiZXhwIjoyMDcwMTY5OTU4fQ.5m7_2s_G0smgXt2yPDJ-x7RTqm1F-60kDxcreboABuo
808,duluk ,v. to burn or overcook food dulum n. darkness,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DULUC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVMVUMubXAzIiwiaWF0IjoxNzU0ODA5OTY1LCJleHAiOjIwNzAxNjk5NjV9.kNken584d7dTU8wZSIzAxL8g48GCJe-LVnpfzRZ4wgE
809,dulun ,n. boundary,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DULUN.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVMVU4ubXAzIiwiaWF0IjoxNzU0ODA5OTcxLCJleHAiOjIwNzAxNjk5NzF9.CIgtSWiw_eEe3NoosvU2LpADzG6xjOSM44uTT-7J_B4
810,dúlûng ,"v. to go to market, or go down the river; cf. lábas",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DULUNG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVMVU5HLm1wMyIsImlhdCI6MTc1NDgwOTk3NywiZXhwIjoyMDcwMTY5OTc3fQ.zK9nMBYD4LHL3epyyWjzA3350Pw013AZO0GqIxxoDzA
811,dulungan ,"n. a fish species, Mirogobius lacustris Herre; syn. durug",
812,dúlut ,v. to serve those eating on a table,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DULUT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVMVVQubXAzIiwiaWF0IjoxNzU0ODA5OTgzLCJleHAiOjIwNzAxNjk5ODN9.wCydQWIXNAc1dIxwnCeQQOQWs1xF6jSZM8r0THdNzyg
813,dumalága ," n. spring chicken, young chicken",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUMALAGA.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVNQUxBR0EubXAzIiwiaWF0IjoxNzU0ODA5OTg5LCJleHAiOjIwNzAxNjk5ODl9.udQPYXwk4ssoEu2W_seaPPPhrsKmifNOE_wI2oIzbGU
814,dúman,"n. tender pounded green rice, special roasted and crunchy popped rice; cf. pinipig",https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUMAN.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVNQU4ubXAzIiwiaWF0IjoxNzU0ODA5OTk3LCJleHAiOjIwNzAxNjk5OTd9.tyot3E3acwahzY4OWPp50hX0W2rovQRVNrcr0p6rBnY
815,dumara,"n. wild duck, Anas luzonica",
816,Duminggu,n. Sunday; see duminggu,
817,duminggu,"n. week; see paruminggu, Duminggu",
818,dungdung,v. to incline the head while reading or writing,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUNGDUNG.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVOR0RVTkcubXAzIiwiaWF0IjoxNzU0ODEwMDQ2LCJleHAiOjIwNzAxNzAwNDZ9.IzAyayPag5bFgfmJm7Jj9Q-cJJRf4CgmMtAO9aFRpmI
819,dungdungan,"n. reference, evidence",
820,dúngis ,n. dirt on the face; syn. musing,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUNGIS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVOR0lTLm1wMyIsImlhdCI6MTc1NDgxMDA1MywiZXhwIjoyMDcwMTcwMDUzfQ.qw563ht_aFXkewdeieoh2BdKwgpVLfgrDdZgZcGCc-E
821,dúngó ,v. to stand and look out on the window,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUNGAO.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVOR0FPLm1wMyIsImlhdCI6MTc1NDg0NDMzMiwiZXhwIjoyMTMzMjc2MzMyfQ.LQ2FFYAzA7BlQp_HVyTml0_ckySMdkQ2GA0VDlyE99I
822,dungu ,"adj. shy, bashful; syn. malamarine",
823,dúngus,n. stomach; see atyan,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUNGUS.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVOR1VTLm1wMyIsImlhdCI6MTc1NDgxMDI2OSwiZXhwIjoyMDcwMTcwMjY5fQ.L2kG-eClr0HRqbW15PVsSwV03YWfJJ7PyrLdiXPQ524
824,dungut ,v. to face someone,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUNGUT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVOR1VULm1wMyIsImlhdCI6MTc1NDg0NDI4OSwiZXhwIjoyMTMzMjc2Mjg5fQ.8HBtV9ZYGjCX-n1SlX-PwllmV9oaWmgrZ6w3hxQ2PAI
825,dúnut, var. runut v. to mash,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DUNGUT.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVOR1VULm1wMyIsImlhdCI6MTc1NDgxMDA3NCwiZXhwIjoyMDcwMTcwMDc0fQ.H9DyEeIG5LHDbQ9MO0pK-6I4A6VFCNT2R0x9xGLNI-4
826,dúru,n. the dowry the bridegroom gives for the bride,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DURU.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVSVS5tcDMiLCJpYXQiOjE3NTQ4MTAwODgsImV4cCI6MjA3MDE3MDA4OH0.aKDfBgFx4HoUn7A_vSyGLjculySdQhE6F5zjq-e6E4w
827,durug,see dulungan,https://aqpogjkniikzxfygnsmm.supabase.co/storage/v1/object/sign/pronouncation/D/DURUC.mp3?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9mN2JkZmNmZC1jMGZhLTQ3YWUtYTc0Ni02ZDBlZjEyMDUzOTIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwcm9ub3VuY2F0aW9uL0QvRFVSVUMubXAzIiwiaWF0IjoxNzU0ODEwMTQxLCJleHAiOjIwNzAxNzAxNDF9.TMNcIdBoYyAYrvUNvYm3lDd1qnF29ZbBSzcN6Ai0mVU
